name,standardized_vote_ideal_point,standardized_tbip_floor_speeches,standardized_tbip_tweets,bioguide_id,party,tbip_floor_speeches,tbip_tweets
Alan Lowenthal,-1.20441,-0.809089,-1.39647,L000579,Democrat,-0.172316,-0.387977
Jan Schakowsky,-1.24056,-1.37694,-1.39351,S001145,Democrat,-0.332605,-0.386952
Nanette Barragán,-1.15324,-1.01309,-1.38877,B001300,Democrat,-0.229899,-0.385311
Mark Pocan,-1.23772,-1.68069,-1.37872,P000607,Democrat,-0.418344,-0.38183
Jimmy Gomez,-1.0565,-1.32449,-1.37669,G000585,Democrat,-0.317799,-0.381126
Sylvia Garcia,-0.819228,-1.67512,-1.37569,G000587,Democrat,-0.416774,-0.38078
Juan Vargas,-1.15514,-0.503589,-1.36017,V000130,Democrat,-0.086081,-0.375407
Nancy Pelosi,-1.58009,-1.41136,-1.35042,P000197,Democrat,-0.342322,-0.372027
Donna Shalala,-0.79005,-1.19144,-1.35026,S001206,Democrat,-0.280244,-0.371975
Andy Levin,-0.848895,-1.32769,-1.34448,L000592,Democrat,-0.318702,-0.369972
Kathy Castor,-1.11575,-1.35569,-1.33643,C001066,Democrat,-0.326607,-0.367185
Pramila Jayapal,-1.19456,-1.68977,-1.32685,J000298,Democrat,-0.420907,-0.363864
Gil Cisneros,-0.704776,-0.914473,-1.30021,C001123,Democrat,-0.202063,-0.35464
Diana DeGette,-1.1511,-1.01584,-1.2885,D000197,Democrat,-0.230676,-0.350583
Adam Smith,-1.18975,-0.702217,-1.28752,S000510,Democrat,-0.142149,-0.350244
Linda Sánchez,-1.18717,-1.16896,-1.28494,S001156,Democrat,-0.273897,-0.349349
Debbie Mucarsel-Powell,-0.760935,-1.31968,-1.27711,M001207,Democrat,-0.316443,-0.34664
Sander Levin,-1.46262,-1.38171,-1.27081,L000263,Democrat,-0.333952,-0.344457
Norma Torres,-1.09295,-1.2025,-1.26809,T000474,Democrat,-0.283364,-0.343514
Salud Carbajal,-0.955825,-0.94387,-1.26796,C001112,Democrat,-0.210361,-0.343468
Jim McGovern (Massachusetts),-1.20029,-1.39163,-1.26327,M000312,Democrat,-0.33675,-0.341845
Nita Lowey,-1.15132,-2.70838,-1.25231,L000480,Democrat,-0.708434,-0.33805
David N. Cicilline,-1.21753,-1.5359,-1.24818,C001084,Democrat,-0.377475,-0.336619
